,links,names,Type,Duration,Price,difficulty,Description,platform
0,https://online-learning.harvard.edu/course/cs50s-introduction-game-development?delta=0,CS50's Introduction to Game Development,Programming,self paced,Free*,Intermediate,"In a quest to understand how video games themselves are implemented, you'll explore the design of such childhood games as: Super Mario Bros., Pong, Flappy Bird, Breakout, Match 3, Legend of Zelda, Angry Birds, Pokémon, 3D Helicopter Game, Dreadhalls, and Portal.",edX
1,https://online-learning.harvard.edu/course/predictionx-lost-without-longitude?delta=0,PredictionX: Lost Without Longitude,Humanities,self paced,Free*,Introductory,"Humans have been navigating for ages. As we developed the tools and techniques for determining location and planning a route, navigation grew into a practice, an art, and a science. Navigational skill has long been tied to commercial, economic, and military success. However, the ability to predict when and where one will reach a distant destination is more than just a key to empire-building — it’s often a matter of life and death.",edX
2,https://online-learning.harvard.edu/course/nonprofit-financial-stewardship-webinar-introduction-accounting-and-financial-statements?delta=0,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,Business,self paced,Free*,Introductory,The Introduction to Nonprofit Accounting and Financial Statements webinar series is designed to introduce basic nonprofit accounting concepts and financial statements to individuals who have had little or no experience with finance or accounting.,Executive Education
3,https://online-learning.harvard.edu/course/cs50-introduction-computer-science?delta=0,CS50: Introduction to Computer Science,Programming,self paced,Free*,Introductory,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. ",edX
4,https://online-learning.harvard.edu/course/public-leadership-credential?delta=0,Public Leadership Credential,Social Sciences,self paced,$995+,Intermediate,"Designed by renowned Harvard Kennedy School faculty, the Public Leadership Credential is an online professional credential program that gives change-makers the skills and knowledge necessary to advance the public good and make an immediate impact in their communities.",Other
5,https://online-learning.harvard.edu/course/predictionx-john-snow-and-cholera-epidemic-1854?delta=0,PredictionX: John Snow and the Cholera Epidemic of 1854,Health & Medicine,self paced,Free*,Introductory,"In 1854, a cholera epidemic swept through the London neighborhood of Soho. In about three weeks, over 600 people died. This incident was, tragically, not unusual in London or the rest of the 19th-century world as a whole. The scourge of cholera seemed unstoppable and, even worse, unpredictable. But one doctor — ignored by the scientific community at large — set out to prove that he knew how cholera was spread.",edX
6,https://online-learning.harvard.edu/course/improving-your-memory?delta=0,Improving your Memory ,Health & Medicine,self paced,$30,Introductory,"Now you can protect and even improve your memory as you age with Improving Memory, the online course from the experts at Harvard Medical School. One of the most common fears we all have as we grow older is losing our memory. In this fascinating course you’ll get tools and techniques to protect your memory as well as 7 specific strategies to improve your memory.",Other
7,https://online-learning.harvard.edu/course/cs50-lawyers?delta=0,CS50 for Lawyers,Computer Science,self paced,Free*,Introductory,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students). Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients.",edX
8,https://online-learning.harvard.edu/course/predictionx-omens-oracles-prophecies?delta=0,"PredictionX: Omens, Oracles & Prophecies",Humanities,self paced,Free*,Introductory,"Humans have always sought to know their own future, be it the destiny of an empire or an individual's fate. Across cultures and history, we find people trying to find their place in the Universe by attempting to gaze into the future.",edX
9,https://online-learning.harvard.edu/course/cs50s-introduction-artificial-intelligence-python?delta=0,CS50's Introduction to Artificial Intelligence with Python,Computer Science,self paced,Free*,Introductory,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.",edX
